State,Boundary_Link,DrinkingWaterWatch_Link
AK,,
AL,,
AR,https://gis.arkansas.gov/arcgis/rest/services/FEATURESERVICES/Utilities/FeatureServer/,
AZ,https://opendata.arcgis.com/datasets/a27a81894e6b4897a33daf2003bc58b9_0.zip,
CA,https://opendata.arcgis.com/datasets/fbba842bf134497c9d611ad506ec48cc_0.zip,
CO,,
CT,,
DC,,
DE,,
FL,,
GA,,
HI,,
IA,,
ID,,
IL,,
IN,,
KS,https://data.kansasgis.org/catalog/administrative_boundaries/shp/pws/PWS_bnd_2021_0430.zip,
KY,,
LA,,
MA,https://docs.digital.mass.gov/dataset/massgis-data-mwra-watersewer-service-areas,
MD,,
ME,,
MI,,
MN,,
MO,,
MS,,
MT,,
NC,,
ND,,
NE,,
NH,,
NJ,https://njogis-newjersey.opendata.arcgis.com/datasets/00e7ff046ddb4302abe7b49b2ddee07e_13/data,
NM,https://catalog.newmexicowaterdata.org/dataset/5d069bbb-1bfe-4c83-bbf7-3582a42fce6e/resource/ccb9f5ce-aed4-4896-a2f1-aba39953e7bb/download/pws_nm.geojson,
NV,,
NY,,
OH,,
OK,,
OR,,
PA,http://www.pasda.psu.edu/json/PublicWaterSupply2020_04.geojson,
PR,,
RI,,
SC,,
SD,,
TN,,
TX,https://www3.twdb.texas.gov/apps/waterserviceboundaries,
UT,https://opendata.arcgis.com/datasets/dc62a286013f447e88fc45480077c944_0.zip,
VA,,
VT,,
WA,https://www.doh.wa.gov/DataandStatisticalReports/DataSystems/GeographicInformationSystem/DownloadableDataSets,
WI,,
WV,,
WY,,
